Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R1_001	pass	0.0	fail	141.646802762	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	22094213.0	pass	fail	fail	49.0	19.6687615189	20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R1_001_trimmed.fastq.gz	fail	pass
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R2_001	pass	0.0	fail	141.761134737	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	22094213.0	pass	fail	fail	49.0	17.9016861078	20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R2_001_trimmed.fastq.gz	warn	pass
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R1_001	pass	0.0	fail	137.657068847	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	18788990.0	pass	fail	fail	51.0	14.4852974568	20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R1_001_trimmed.fastq.gz	fail	pass
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R2_001	pass	0.0	fail	137.749033077	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	18788990.0	pass	fail	fail	51.0	13.234249492	20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R2_001_trimmed.fastq.gz	warn	pass
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R1_001	pass	0.0	fail	137.296560179	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	26294916.0	pass	fail	fail	48.0	21.4565403135	20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R1_001_trimmed.fastq.gz	fail	pass
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R2_001	pass	0.0	fail	137.41019013	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	26294916.0	pass	fail	fail	49.0	19.6625453433	20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R2_001_trimmed.fastq.gz	warn	pass
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R1_001	pass	0.0	fail	149.38689788	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	23391803.0	pass	fail	warn	51.0	14.058226155	20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R1_001_trimmed.fastq.gz	fail	pass
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R2_001	pass	0.0	fail	149.402399678	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	23391803.0	pass	fail	fail	52.0	13.0795522453	20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R2_001_trimmed.fastq.gz	warn	pass
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R1_001	pass	0.0	fail	135.713982009	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	16946878.0	pass	fail	fail	53.0	12.7965756005	20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R1_001_trimmed.fastq.gz	fail	pass
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R2_001	pass	0.0	fail	135.76086085	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	16946878.0	pass	fail	fail	53.0	11.8755585158	20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R2_001_trimmed.fastq.gz	warn	pass
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R1_001	pass	0.0	fail	133.395576526	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	20219400.0	pass	fail	fail	50.0	16.5548418172	20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R1_001_trimmed.fastq.gz	fail	pass
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R2_001	pass	0.0	fail	133.459414473	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	20219400.0	pass	fail	fail	51.0	15.0395398094	20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R2_001_trimmed.fastq.gz	warn	pass
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R1_001	pass	0.0	fail	139.958456656	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	21234930.0	pass	fail	fail	51.0	14.5598862474	20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R1_001_trimmed.fastq.gz	fail	pass
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R2_001	pass	0.0	fail	139.960460901	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	21234930.0	pass	fail	fail	51.0	12.9558176673	20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R2_001_trimmed.fastq.gz	warn	pass
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R1_001	pass	0.0	fail	137.92650548	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	22966243.0	pass	warn	fail	53.0	9.87471722615	20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R1_001_trimmed.fastq.gz	fail	pass
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R2_001	pass	0.0	fail	137.955385476	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	22966243.0	pass	fail	fail	54.0	9.07869248301	20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R2_001_trimmed.fastq.gz	warn	pass
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R1_001	pass	0.0	fail	141.18416802	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	26830163.0	pass	fail	fail	51.0	13.2594605988	20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R1_001_trimmed.fastq.gz	fail	pass
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R2_001	pass	0.0	fail	141.804388069	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	26830163.0	pass	fail	fail	51.0	15.1692142417	20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R2_001_trimmed.fastq.gz	warn	pass
20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R1_001	pass	0.0	fail	135.87794932	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	53975062.0	pass	warn	warn	52.0	9.31168335563	20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R1_001_trimmed.fastq.gz	fail	pass
20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R2_001	pass	0.0	fail	135.940705154	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	53975062.0	pass	fail	fail	53.0	8.6856910516	20107400049-Pe-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S44_R2_001_trimmed.fastq.gz	warn	pass
20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R1_001	pass	0.0	fail	135.126317082	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	33070737.0	pass	warn	fail	50.0	15.3870462795	20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R1_001_trimmed.fastq.gz	fail	pass
20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R2_001	pass	0.0	fail	135.174034948	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	33070737.0	pass	fail	fail	50.0	13.8877410566	20107400050-Control-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S45_R2_001_trimmed.fastq.gz	warn	pass
20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R1_001	pass	0.0	fail	144.081292517	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	25300127.0	pass	fail	warn	50.0	15.6183417299	20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R1_001_trimmed.fastq.gz	fail	pass
20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R2_001	pass	0.0	fail	144.223509787	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	25300127.0	pass	fail	fail	51.0	14.538838427	20107400051-Pe-Sham-Virgin-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S46_R2_001_trimmed.fastq.gz	warn	pass
20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R1_001	pass	0.0	fail	141.325127075	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	28431145.0	pass	warn	warn	53.0	10.4243990028	20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R1_001_trimmed.fastq.gz	fail	pass
20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R2_001	pass	0.0	fail	141.363749508	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	28431145.0	pass	fail	fail	53.0	9.79112230726	20107400052-Control-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S47_R2_001_trimmed.fastq.gz	warn	pass
20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R1_001	pass	0.0	fail	141.92129508	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	30897560.0	pass	fail	warn	52.0	10.3895046828	20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R1_001_trimmed.fastq.gz	fail	pass
20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R2_001	pass	0.0	fail	142.009812102	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	30897560.0	pass	fail	fail	52.0	9.76111609978	20107400053-Control-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S48_R2_001_trimmed.fastq.gz	warn	pass
20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R1_001	pass	0.0	fail	143.157431886	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	26449375.0	pass	fail	warn	52.0	9.9784551994	20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R1_001_trimmed.fastq.gz	fail	pass
20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R2_001	pass	0.0	fail	143.171828824	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	26449375.0	pass	fail	fail	53.0	9.08709436488	20107400054-Control-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S49_R2_001_trimmed.fastq.gz	warn	pass
20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R1_001	pass	0.0	fail	143.955478247	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	25756735.0	pass	warn	warn	52.0	10.9404216258	20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R1_001_trimmed.fastq.gz	fail	pass
20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R2_001	pass	0.0	fail	143.969113321	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	25756735.0	pass	fail	fail	53.0	9.96819650547	20107400055-Control-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S50_R2_001_trimmed.fastq.gz	warn	pass
20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R1_001	pass	0.0	fail	145.092208071	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	28180353.0	pass	warn	warn	50.0	14.617171846	20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R1_001_trimmed.fastq.gz	fail	pass
20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R2_001	pass	0.0	fail	145.198796161	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	28180353.0	pass	fail	fail	50.0	13.7417576855	20107400056-Pe-Sham-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S51_R2_001_trimmed.fastq.gz	warn	pass
20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R1_001	pass	0.0	fail	138.508602043	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	34510231.0	pass	fail	warn	52.0	10.9855908783	20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R1_001_trimmed.fastq.gz	fail	pass
20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R2_001	pass	0.0	fail	138.590528038	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	34510231.0	pass	fail	fail	52.0	9.90330536144	20107400057-Pe-Sham-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S52_R2_001_trimmed.fastq.gz	warn	pass
20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R1_001	pass	0.0	fail	142.219733706	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	23863658.0	pass	fail	warn	51.0	13.0182591624	20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R1_001_trimmed.fastq.gz	fail	pass
20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R2_001	pass	0.0	fail	142.264763893	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	23863658.0	pass	fail	fail	51.0	11.5407396877	20107400059-Pe-Pe-NIR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S53_R2_001_trimmed.fastq.gz	warn	pass
20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R1_001	pass	0.0	fail	132.391435946	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	warn	27807717.0	pass	fail	warn	50.0	13.504389103	20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R1_001_trimmed.fastq.gz	fail	pass
20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R2_001	pass	0.0	fail	132.367932218	Sanger / Illumina 1.9	pass	fail	0-159	Conventional base calls	pass	fail	27807717.0	pass	fail	fail	50.0	10.9605907842	20107400060-Pe-Pe-IR-Mated-Block-3-NCGM-676-Dr-Imroze-khan-3-1_S54_R2_001_trimmed.fastq.gz	warn	pass
