Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R1_001	80.3312384811	49.0	141.646802762	22094213.0	45.4545454545
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R2_001	82.0983138922	49.0	141.761134737	22094213.0	36.3636363636
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R1_001	85.5147025432	51.0	137.657068847	18788990.0	45.4545454545
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R2_001	86.765750508	51.0	137.749033077	18788990.0	45.4545454545
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R1_001	78.5434596865	48.0	137.296560179	26294916.0	45.4545454545
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R2_001	80.3374546567	49.0	137.41019013	26294916.0	36.3636363636
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R1_001	85.941773845	51.0	149.38689788	23391803.0	36.3636363636
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R2_001	86.9204477547	52.0	149.402399678	23391803.0	36.3636363636
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R1_001	87.2034243995	53.0	135.713982009	16946878.0	54.5454545455
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R2_001	88.1244414842	53.0	135.76086085	16946878.0	45.4545454545
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R1_001	83.4451581828	50.0	133.395576526	20219400.0	45.4545454545
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R2_001	84.9604601906	51.0	133.459414473	20219400.0	36.3636363636
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R1_001	85.4401137526	51.0	139.958456656	21234930.0	45.4545454545
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R2_001	87.0441823327	51.0	139.960460901	21234930.0	45.4545454545
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R1_001	90.1252827738	53.0	137.92650548	22966243.0	45.4545454545
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R2_001	90.921307517	54.0	137.955385476	22966243.0	45.4545454545
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R1_001	86.7405394012	51.0	141.18416802	26830163.0	45.4545454545
