Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	22094213.0	pass	fail	fail	49.0	19.3930237086	20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R1_001.fastq.gz	fail	pass
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	22094213.0	pass	fail	fail	50.0	17.6123092123	20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R2_001.fastq.gz	warn	pass
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	18788990.0	pass	fail	fail	51.0	14.0409228244	20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R1_001.fastq.gz	fail	pass
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	18788990.0	pass	fail	fail	51.0	12.7736668089	20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R2_001.fastq.gz	pass	pass
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	26294916.0	pass	fail	fail	48.0	20.9007827216	20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R1_001.fastq.gz	fail	pass
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	26294916.0	pass	fail	fail	49.0	19.0679459915	20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R2_001.fastq.gz	warn	pass
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	23391803.0	pass	fail	warn	51.0	13.9032715831	20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R1_001.fastq.gz	fail	pass
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	warn	23391803.0	pass	fail	fail	52.0	12.9234079543	20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R2_001.fastq.gz	warn	pass
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R1_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	16946878.0	pass	fail	fail	52.0	12.3668268174	20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R1_001.fastq.gz	fail	pass
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R2_001	fail	0.0	fail	159.0	Sanger / Illumina 1.9	pass	pass	159.0	Conventional base calls	pass	fail	16946878.0	pass	fail	fail	53.0	11.4000540086	20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R2_001.fastq.gz	pass	pass
