Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R1_001	80.6069762914	49.0	159.0	22094213.0	45.4545454545
20107400040-Control-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S35_R2_001	82.3876907877	50.0	159.0	22094213.0	36.3636363636
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R1_001	85.9590771756	51.0	159.0	18788990.0	45.4545454545
20107400041-Pe-Sham-Virgin-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S36_R2_001	87.2263331911	51.0	159.0	18788990.0	45.4545454545
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R1_001	79.0992172784	48.0	159.0	26294916.0	45.4545454545
20107400042-Control-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S37_R2_001	80.9320540085	49.0	159.0	26294916.0	36.3636363636
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R1_001	86.0967284169	51.0	159.0	23391803.0	36.3636363636
20107400043-Control-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S38_R2_001	87.0765920457	52.0	159.0	23391803.0	36.3636363636
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R1_001	87.6331731826	52.0	159.0	16946878.0	54.5454545455
20107400044-Control-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S39_R2_001	88.5999459914	53.0	159.0	16946878.0	45.4545454545
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R1_001	84.1645666739	50.0	159.0	20219400.0	45.4545454545
20107400045-Control-Pe-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S40_R2_001	85.7269857898	51.0	159.0	20219400.0	36.3636363636
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R1_001	85.8711698884	51.0	159.0	21234930.0	45.4545454545
20107400046-Pe-Sham-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S41_R2_001	87.4910428143	52.0	159.0	21234930.0	45.4545454545
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R1_001	90.5067485707	53.0	159.0	22966243.0	45.4545454545
20107400047-Pe-Sham-IR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S42_R2_001	91.3299731969	54.0	159.0	22966243.0	45.4545454545
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R1_001	87.0944540782	51.0	159.0	26830163.0	45.4545454545
20107400048-Pe-Pe-NIR-Mated-Block-2-NCGM-676-Dr-Imroze-khan-3-1_S43_R2_001	85.2031082742	51.0	159.0	26830163.0	45.4545454545
